time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,seed_time,capability_frontier_ratio,ai_services_counterfactual_ratio
-4.02000000000001,1.5,227938693.23406878,508215584.63341385,18983534.189521417,256665.8520515415,152795407054.21408,1002.185120714239,0.0009978196436276347,0.05804995748531261,0.0420512605560268,0.058007599612475945,0.09800759961247595,0.0011260301987779356,0.668873969801222,0.0,0.0,185.98,0.9,1.0
-4.0,1.5,228157846.64166242,508705324.9265327,19001769.95937562,256830.43348603032,152942395743.59195,1002.185120714239,0.0009978196436276347,0.05804962022860903,0.0420510298446431,0.058007275926632566,0.09800727592663257,0.0011256699572967134,0.6688743300427031,0.0,0.0,186.0,0.9,1.0
-3.9799999999999898,1.5,228377209.21576867,509195533.35792005,19020023.123577643,256995.11926914554,153089524776.1842,1002.185120714239,0.0009978196436276347,0.05804928308293784,0.0420507992092822,0.05800695234737851,0.09800695234737851,0.001125309833462142,0.6688746901665378,0.0,0.0,186.02,0.9,1.0
-3.960000000000008,1.5,228596781.15503895,509686210.3726301,19038293.698640663,257159.90946666987,153236794285.31067,1002.185120714239,0.0009978196436276347,0.05804894604826162,0.042050568649918435,0.058006628874677856,0.09800662887467786,0.0011249498272342634,0.6688750501727656,0.0,0.0,186.04,0.9,1.0
-3.9399999999999977,1.5,228816562.65830976,510177356.4161338,19056581.701093286,257324.80414442517,153384204404.417,1002.185120714239,0.0009978196436276347,0.05804860912454237,0.04205033816652573,0.058006305508494165,0.09800630550849417,0.001124589938573137,0.6688754100614268,0.0,0.0,186.06,0.9,1.0
-3.9199999999999875,1.5,229036553.92461157,510668971.93433887,19074887.14748046,257489.80336827761,153531755267.07852,1002.185120714239,0.0009978196436276347,0.058048272311741575,0.04205010775907767,0.05800598224879044,0.09800598224879044,0.001124230167438826,0.668875769832561,0.0,0.0,186.08,0.9,1.0
-3.9000000000000057,1.5,229256755.15315783,511161057.3735614,19093210.054362126,257654.90720413264,153679447006.995,1002.185120714239,0.0009978196436276347,0.05804793560982131,0.04204987742754827,0.05800565909553023,0.09800565909553023,0.0011238705137914175,0.6688761294862084,0.0,0.0,186.1,0.9,1.0
-3.8799999999999955,1.5,229477166.54335073,511653613.1805442,19111550.438314036,257820.11571793538,153827279757.9907,1002.185120714239,0.0009978196436276347,0.05804759901874253,0.04204964717191072,0.05800533604867605,0.09800533604867605,0.0011235109775910117,0.6688764890224089,0.0,0.0,186.12,0.9,1.0
-3.8600000000000136,1.5,229697788.29478619,512146639.80246115,19129908.315927926,257985.42897567755,153975253654.02216,1002.185120714239,0.0009978196436276347,0.0580472625384673,0.04204941699213904,0.058005013108191415,0.09800501310819142,0.001123151558797719,0.6688768484412022,0.0,0.0,186.14,0.9,1.0
-3.8400000000000034,1.5,229918620.60724527,512640137.6869009,19148283.703810968,258150.84704338896,154123368829.16852,1002.185120714239,0.0009978196436276347,0.05804692616895771,0.0420491868882072,0.05800469027403992,0.09800469027403992,0.0011227922573716668,0.6688772077426283,0.0,0.0,186.16,0.9,1.0
-3.819999999999993,1.5,230139663.6806999,513134107.2818802,19166676.618586205,258316.3699871423,154271625417.63596,1002.185120714239,0.0009978196436276347,0.05804658991017572,0.04204895686008912,0.05800436754618509,0.09800436754618509,0.001122433073272997,0.6688775669267268,0.0,0.0,186.18,0.9,1.0
-3.8000000000000114,1.5,230360917.71531233,513628549.0358443,19185087.07689249,258481.99787305153,154420023553.7628,1002.185120714239,0.0009978196436276347,0.058046253762083,0.04204872690775851,0.05800404492458996,0.09800404492458996,0.0011220740064618602,0.6688779259935381,0.0,0.0,186.2,0.9,1.0
-3.780000000000001,1.5,230582382.91143274,514123463.39765644,19203515.09538417,258647.73076727326,154568563372.00858,1002.185120714239,0.0009978196436276347,0.058045917724642064,0.042048497031189666,0.05800372240921863,0.09800372240921863,0.0011217150568984297,0.6688782849431015,0.0,0.0,186.22,0.9,1.0
-3.759999999999991,1.5,230804059.46959963,514618850.81661063,19221960.690731626,258813.56873600298,154717245006.9614,1002.185120714239,0.0009978196436276347,0.05804558179781289,0.04204826723035515,0.058003400000032505,0.0980034000000325,0.0011213562245428908,0.6688786437754569,0.0,0.0,186.24,0.9,1.0
-3.740000000000009,1.5,231025947.5905463,515114711.7424237,19240423.879620843,258979.51184548263,154866068593.34076,1002.185120714239,0.0009978196436276347,0.05804524598155969,0.04204803750523039,0.05800307769699727,0.09800307769699727,0.0011209975093554381,0.6688790024906446,0.0,0.0,186.26,0.9,1.0
-3.719999999999999,1.5,231248047.4751914,515611046.6252422,19258904.678753864,259145.56016199032,155015034265.99106,1002.185120714239,0.0009978196436276347,0.058044910275842417,0.04204780785578795,0.05800275550007435,0.09800275550007435,0.001120638911296285,0.6688793610887037,0.0,0.0,186.28,0.9,1.0
-3.6999999999999886,1.5,231470359.32464886,516107855.9156379,19277403.10484823,259311.713751852,155164142159.88336,1002.185120714239,0.0009978196436276347,0.05804457468062474,0.04204757828200289,0.05800243340922894,0.09800243340922894,0.0011202804303256557,0.6688797195696743,0.0,0.0,186.3,0.9,1.0
-3.680000000000007,1.5,231692883.3402157,516605140.0646061,19295919.174637437,259477.97268142804,155313392410.11835,1002.185120714239,0.0009978196436276347,0.058044239195866744,0.04204734878384787,0.05800211142442243,0.09800211142442243,0.0011199220664037948,0.6688800779335962,0.0,0.0,186.32,0.9,1.0
-3.6599999999999966,1.5,231915619.7233913,517102899.5235825,19314452.90487118,259644.3370171309,155462785151.9269,1002.185120714239,0.0009978196436276347,0.058043903821531975,0.04204711936129785,0.058001789545619985,0.09800178954561999,0.0011195638194909493,0.668880436180509,0.0,0.0,186.34,0.9,1.0
-3.6399999999999864,1.5,232138568.67585516,517601134.74441266,19333004.312314413,259810.80682540554,155612320520.66364,1002.185120714239,0.0009978196436276347,0.05804356855758258,0.04204689001432686,0.058001467772785135,0.09800146777278514,0.0011192056895473947,0.6688807943104526,0.0,0.0,186.36,0.9,1.0
-3.6200000000000045,1.5,232361730.3994812,518099846.1793833,19351573.41374836,259977.38217274265,155761998651.8131,1002.185120714239,0.0009978196436276347,0.058043233403979176,0.042046660742907936,0.058001146105879885,0.09800114610587989,0.0011188476765334107,0.6688811523234666,0.0,0.0,186.38,0.9,1.0
-3.5999999999999943,1.5,232585105.09633788,518599034.28120637,19370160.225970093,260144.06312567578,155911819680.9888,1002.185120714239,0.0009978196436276347,0.05804289836068539,0.042046431547016094,0.058000824544869344,0.09800082454486934,0.0011184897804092941,0.6688815102195907,0.0,0.0,186.4,0.9,1.0
-3.5800000000000125,1.5,232808692.9686786,519098699.50302124,19388764.765792437,260310.84975077622,156061783743.93274,1002.185120714239,0.0009978196436276347,0.058042563427661224,0.042046202426623935,0.05800050308971499,0.09800050308971499,0.0011181320011353594,0.6688818679988646,0.0,0.0,186.42,0.9,1.0
-3.5600000000000023,1.5,233032494.21895736,519598842.2984026,19407387.05004436,260477.74211466464,156211890976.51614,1002.185120714239,0.0009978196436276347,0.05804222860487095,0.04204597338170692,0.05800018174038251,0.09800018174038251,0.0011177743386719262,0.6688822256613279,0.0,0.0,186.44,0.9,1.0
-3.539999999999992,1.5,233256509.04981264,520099463.12135136,19426027.095570706,260644.74028399735,156362141514.73843,1002.185120714239,0.0009978196436276347,0.05804189389227511,0.04204574441223801,0.05799986049683383,0.09799986049683383,0.0011174167929793356,0.6688825832070205,0.0,0.0,186.46,0.9,1.0
-3.5200000000000102,1.5,233480737.66407487,520600562.4262917,19444684.919231914,260811.8443254726,156512535494.72623,1002.185120714239,0.0009978196436276347,0.05804155928983644,0.04204551551819165,0.05799953935903306,0.09799953935903306,0.0011170593640179459,0.668882940635982,0.0,0.0,186.48,0.9,1.0
-3.5,1.5,233705180.26477495,521102140.6680971,19463360.537905168,260979.0543058377,156663073052.7385,1002.185120714239,0.0009978196436276347,0.05804122479751751,0.04204528669954214,0.05799921832694429,0.09799921832694429,0.001116702051748116,0.6688832979482519,0.0,0.0,186.5,0.9,1.0
-3.4799999999999898,1.5,233929837.05512372,521604198.30205196,19482053.9684828,261146.37029187183,156813754325.15833,1002.185120714239,0.0009978196436276347,0.05804089041527891,0.0420450579562625,0.057998897400529485,0.09799889740052949,0.0011163448561302372,0.6688836551438697,0.0,0.0,186.52,0.9,1.0
-3.460000000000008,1.5,234154708.23853615,522106735.78388727,19500765.227873832,261313.79235040658,156964579448.50473,1002.185120714239,0.0009978196436276347,0.05804055614308446,0.04204482928832786,0.05799857657975382,0.09799857657975382,0.0011159877771246996,0.6688840122228752,0.0,0.0,186.54,0.9,1.0
-3.4399999999999977,1.5,234379794.01861253,522609753.5697587,19519494.33300276,261481.3205483073,157115548559.4211,1002.185120714239,0.0009978196436276347,0.05804022198089515,0.04204460069571152,0.05799825586457976,0.09799825586457976,0.0011156308146919136,0.668884369185308,0.0,0.0,186.56,0.9,1.0
-3.4199999999999875,1.5,234605094.599151,523113252.1162583,19538241.30081052,261648.95495248883,157266661794.68365,1002.185120714239,0.0009978196436276347,0.05803988792867434,0.04204437217838829,0.05799793525497198,0.09799793525497198,0.0011152739687923015,0.6688847260312077,0.0,0.0,186.58,0.9,1.0
-3.4000000000000057,1.5,234830610.1841378,523617231.8804053,19557006.14825374,261816.69562990096,157417919291.1932,1002.185120714239,0.0009978196436276347,0.05803955398638351,0.04204414373633179,0.057997614750893454,0.09799761475089346,0.001114917239386307,0.6688850827606136,0.0,0.0,186.6,0.9,1.0
-3.3799999999999955,1.5,235056340.97775662,524121693.3196599,19575788.892305467,261984.54264754118,157569321185.98645,1002.185120714239,0.0009978196436276347,0.05803922015398499,0.04204391536951619,0.05799729435230779,0.09799729435230779,0.0011145606264343774,0.6688854393735656,0.0,0.0,186.62,0.9,1.0
-3.3600000000000136,1.5,235282287.1843805,524626636.89190847,19594589.549954474,262152.49607244466,157720867616.22495,1002.185120714239,0.0009978196436276347,0.05803888643144034,0.04204368707791513,0.057996974059177996,0.097996974059178,0.0011142041298969813,0.668885795870103,0.0,0.0,186.64,0.9,1.0
-3.3400000000000034,1.5,235508449.00858355,525132063.05547917,19613408.138205905,262320.55597169616,157872558719.20404,1002.185120714239,0.0009978196436276347,0.05803855281871391,0.042043458861504096,0.05799665387146973,0.09799665387146973,0.001113847749734598,0.6688861522502654,0.0,0.0,186.66,0.9,1.0
-3.319999999999993,1.5,235734826.65512452,525637972.2691309,19632244.67408094,262488.7224124141,158024394632.34656,1002.185120714239,0.0009978196436276347,0.05803821931576527,0.042043230720255446,0.057996333789143976,0.09799633378914398,0.0011134914859077226,0.6688865085140921,0.0,0.0,186.68,0.9,1.0
-3.3000000000000114,1.5,235961420.32896295,526144364.9920538,19651099.174616747,262656.99546176556,158176375493.20712,1002.185120714239,0.0009978196436276347,0.058037885922559186,0.04204300265414495,0.057996013812166895,0.0979960138121669,0.0011131353383768638,0.6688868646616231,0.0,0.0,186.7,0.9,1.0
-3.280000000000001,1.5,236188230.23524332,526651241.68386996,19669971.65686641,262825.37518695183,158328501439.46683,1002.185120714239,0.0009978196436276347,0.05803755263905573,0.042042774663145266,0.057995693940499964,0.09799569394049996,0.0011127793071025517,0.6688872206928974,0.0,0.0,186.72,0.9,1.0
-3.259999999999991,1.5,236415256.5793027,527158602.8046182,19688862.137898687,262993.86165521725,158480772608.93326,1002.185120714239,0.0009978196436276347,0.05803721946521887,0.042042546747231645,0.05799537417410885,0.09799537417410885,0.0011124233920453397,0.6688875766079545,0.0,0.0,186.74,0.9,1.0
-3.240000000000009,1.5,236642499.5666652,527666448.814768,19707770.634798285,263162.4549338407,158633189139.54123,1002.185120714239,0.0009978196436276347,0.05803688640100962,0.042042318906377385,0.05799505451295605,0.09799505451295605,0.0011120675931658023,0.6688879324068341,0.0,0.0,186.76,0.9,1.0
-3.219999999999999,1.5,236869959.4030547,528174780.17523295,19726697.164666306,263331.15509014885,158785751169.3602,1002.185120714239,0.0009978196436276347,0.05803655344638991,0.04204209114055639,0.057994734957005155,0.09799473495700516,0.0011117119104245214,0.6688882880895755,0.0,0.0,186.78,0.9,1.0
-3.1999999999999886,1.5,237097636.29438907,528683597.34735596,19745641.74461983,263499.96219150955,158938458836.58752,1002.185120714239,0.0009978196436276347,0.058036220601323164,0.04204186344974354,0.0579944155062213,0.0979944155062213,0.0011113563437820967,0.6688886436562178,0.0,0.0,186.8,0.9,1.0
-3.180000000000007,1.5,237325530.4467787,529192900.7929212,19764604.391792227,263668.8763053314,159091312279.55338,1002.185120714239,0.0009978196436276347,0.05803588786577038,0.04204163583391212,0.05799409616056702,0.09799409616056702,0.0011110008931991412,0.6688889991068008,0.0,0.0,186.82,0.9,1.0
-3.1599999999999966,1.5,237553642.06653187,529702690.97415245,19783585.123333294,263837.8974990665,159244311636.71826,1002.185120714239,0.0009978196436276347,0.05803555523969345,0.04204140829303599,0.05799377692000584,0.09799377692000584,0.0011106455586362815,0.6688893544413637,0.0,0.0,186.84,0.9,1.0
-3.1399999999999864,1.5,237781971.36015382,530212968.35370797,19802583.956408657,264007.02584021306,159397457046.6734,1002.185120714239,0.0009978196436276347,0.05803522272305654,0.04204118082709055,0.05799345778450348,0.09799345778450348,0.0011102903400541572,0.6688897096599458,0.0,0.0,186.86,0.9,1.0
-3.1200000000000045,1.5,238010518.53434053,530723733.3946865,19821600.908200618,264176.2613963055,159550748648.14188,1002.185120714239,0.0009978196436276347,0.05803489031581994,0.04204095343604861,0.05799313875402192,0.09799313875402192,0.0011099352374134247,0.6688900647625865,0.0,0.0,186.88,0.9,1.0
-3.0999999999999943,1.5,238239283.79598704,531234986.5606258,19840635.99590753,264345.6042349244,159704186579.97992,1002.185120714239,0.0009978196436276347,0.0580345580179463,0.042040726119884554,0.05799281982852527,0.09799281982852527,0.0011095802506747505,0.6688904197493253,0.0,0.0,186.9,0.9,1.0
-3.0800000000000125,1.5,238468267.3521836,531746728.3155012,19859689.236743983,264515.05442369264,159857770981.17023,1002.185120714239,0.0009978196436276347,0.05803422582939795,0.04204049887857253,0.057992501007977586,0.09799250100797759,0.0011092253797988208,0.6688907746202011,0.0,0.0,186.92,0.9,1.0
-3.0600000000000023,1.5,238697469.41021746,532258959.1237318,19878760.647941064,264684.612030276,160011501990.83337,1002.185120714239,0.0009978196436276347,0.05803389375013703,0.042040271712086595,0.05799218229234245,0.09799218229234245,0.00110887062474633,0.6688911293752536,0.0,0.0,186.94,0.9,1.0
-3.039999999999992,1.5,238926890.17757142,532771679.4501711,19897850.246745903,264854.2771223821,160165379748.21725,1002.185120714239,0.0009978196436276347,0.05803356178012652,0.04204004462040134,0.05799186368158451,0.09799186368158451,0.0011085159854779898,0.6688914840145219,0.0,0.0,186.96,0.9,1.0
-3.0200000000000102,1.5,239156529.86192563,533284889.7601211,19916958.050422393,265024.04976776225,160319404392.704,1002.185120714239,0.0009978196436276347,0.05803322991932787,0.04203981760349034,0.05799154517566681,0.09799154517566681,0.0011081614619545238,0.6688918385380455,0.0,0.0,186.98,0.9,1.0
-3.0,1.5,239386388.67115703,533798590.51932096,19936084.076250415,265193.93003421044,160473576063.80774,1002.185120714239,0.0009978196436276347,0.05803289816770368,0.04203959066132796,0.05799122677455345,0.09799122677455345,0.0011078070541366697,0.6688921929458633,0.0,0.0,187.0,0.9,1.0
-2.9799999999999898,1.5,239616466.81333697,534312782.1939439,19955228.341526076,265363.9179895609,160627894901.1743,1002.185120714239,0.0009978196436276347,0.058032566525216996,0.04203936379388884,0.05799090847820903,0.09799090847820903,0.0011074527619851832,0.6688925472380147,0.0,0.0,187.02,0.9,1.0
-2.960000000000008,1.5,239846764.49673805,534827465.2506203,19974390.863562435,265534.01370169525,160782361044.58002,1002.185120714239,0.0009978196436276347,0.05803223499182923,0.04203913700114653,0.05799059028659664,0.09799059028659664,0.0011070985854608288,0.6688929014145392,0.0,0.0,187.04,0.9,1.0
-2.9399999999999977,1.5,240077281.929826,535342640.15641147,19993571.65968851,265704.2172385327,160936974633.93832,1002.185120714239,0.0009978196436276347,0.058031903567502506,0.04203891028307506,0.05799027219967983,0.09799027219967983,0.001106744524524387,0.6688932554754755,0.0,0.0,187.06,0.9,1.0
-2.9199999999999875,1.5,240308019.32126912,535858307.3788253,20012770.74724974,265874.5286680409,161091735809.28943,1002.185120714239,0.0009978196436276347,0.058031572252200896,0.04203868363964978,0.057989954217424276,0.09798995421742428,0.0011063905791366536,0.6688936094208633,0.0,0.0,187.08,0.9,1.0
-2.9000000000000057,1.5,240538976.87992832,536374467.385813,20031988.14360821,266044.94805822585,161246644710.81088,1002.185120714239,0.0009978196436276347,0.058031241045885376,0.04203845707084393,0.057989636339792504,0.0979896363397925,0.0011060367492584354,0.6688939632507415,0.0,0.0,187.1,0.9,1.0
-2.8799999999999955,1.5,240770154.81486318,536891120.6457692,20051223.86614236,266215.4754771361,161401701478.81128,1002.185120714239,0.0009978196436276347,0.05803090994851756,0.04203823057663122,0.05798931856674757,0.09798931856674757,0.0011056830348505566,0.6688943169651493,0.0,0.0,187.12,0.9,1.0
-2.8600000000000136,1.5,241001553.3353364,537408267.6275331,20070477.932246957,266386.11099286913,161556906253.7322,1002.185120714239,0.0009978196436276347,0.058030578960061995,0.04203800415698728,0.05798900089825567,0.09798900089825567,0.0011053294358738506,0.6688946705641261,0.0,0.0,187.14,0.9,1.0
-2.8400000000000034,1.5,241233172.65080303,537925908.8003838,20089750.35933324,266556.8546735589,161712259176.14822,1002.185120714239,0.0009978196436276347,0.058030248080480774,0.042037777811886154,0.05798868333428039,0.09798868333428039,0.0011049759522891698,0.6688950240477107,0.0,0.0,187.16,0.9,1.0
