scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",10.625,0.9991760244312097,-0.008439517911895796,-0.00237876592639506,0.031174157350123535,0.0015435946654482023,0.1919557135549341,0.25861481076638043,0.44788115655856947,1.1605873603415662
"Monopoly, chi = 7.5",10.75,0.999204907983095,-0.008451590291327953,-0.002383496174578637,0.031179353975455848,0.001544765241849063,0.19037654315261204,0.25648119307776457,0.4454088898097092,1.1509627990382587
"Monopoly, chi = 7.5",10.875,0.9992325749464919,-0.008462996214894783,-0.002387945788512271,0.031184350951747764,0.0015459380871087234,0.18880989627963465,0.2543648575958001,0.44295007839559736,1.1414190063835248
"Monopoly, chi = 7.5",11.0,0.9992590849664935,-0.008473775182518352,-0.002392131924473618,0.03118915807253196,0.0015471131326172647,0.1872557038861767,0.252265687308195,0.44050466500442886,1.131955268751828
"Monopoly, chi = 7.5",11.125,0.9992844943601658,-0.00848396410681113,-0.0023960705900704093,0.031193784585770865,0.0015482903137366264,0.18571389524075574,0.2501835644070381,0.43807259146964933,1.1225708806663084
"Monopoly, chi = 7.5",11.25,0.9993088563243502,-0.008493597498717267,-0.002399776728011697,0.03119823922784845,0.0015494695695468794,0.18418439810094372,0.24811837042101798,0.4356537988579836,1.1132651445998312
"Monopoly, chi = 7.5",11.375,0.9993322211291188,-0.00850270763863666,-0.0024032642932390645,0.031202530255226638,0.0015506508426103515,0.18266713887113256,0.24606998633729554,0.4332482275511094,1.1040373707873903
"Monopoly, chi = 7.5",11.5,0.9993546362980497,-0.008511324734413834,-0.0024065463240791505,0.031206665473938258,0.0015518340787523397,0.18116204274861378,0.24403829271410687,0.4308558173213857,1.0948868770508833
"Monopoly, chi = 7.5",11.625,0.9993761467762055,-0.008519477067094858,-0.002409635007804117,0.031210652267094546,0.0015530192268569253,0.1796690338571634,0.2420231697825578,0.42847650739987997,1.0858129886253387
"Monopoly, chi = 7.5",11.75,0.9993967950867453,-0.008527191125571291,-0.00241254174113605,0.03121449762048245,0.0015542062386778108,0.1781880353703745,0.24002449754019045,0.42611023653937774,1.0768150379941877
"Monopoly, chi = 7.5",11.875,0.999416621477003,-0.008534491730830257,-0.0024152771859853785,0.03121820814657407,0.0015553950686591287,0.1767189696266089,0.23804215583823088,0.4237569430735334,1.0678923647356173
"Monopoly, chi = 7.5",12.0,0.9994356640548818,-0.0085414021510966,-0.0024178513210993055,0.031221790106763028,0.0015565856737721649,0.1752617582343556,0.2360760244608829,0.42141656497091706,1.0590443153751814
"Monopoly, chi = 7.5",12.125,0.9994539589162073,-0.008547944208182941,-0.0024202734896795796,0.031225249432279292,0.001557778013361457,0.17381632217012666,0.2341259831987222,0.41908903988540386,1.0502702432453819
"Monopoly, chi = 7.5",12.25,0.9994715402636868,-0.008554138375953552,-0.002422552443429868,0.031228591743666725,0.001558972049000785,0.17238258186882888,0.23219191191609154,0.4167743052025289,1.0415695083519934
"Monopoly, chi = 7.5",12.375,0.9994884405180757,-0.008560003871463832,-0.0024246963832746686,0.031231822368993453,0.0015601677443588323,0.17096045730741338,0.23027369061319086,0.4144722980826678,1.0329414772467336
"Monopoly, chi = 7.5",12.5,0.9995046904221566,-0.008565558739440371,-0.002426712997067009,0.03123494636089791,0.0015613650650748876,0.169549868082108,0.22837119948293486,0.41218295550094675,1.0243855229049013
"Monopoly, chi = 7.5",12.625,0.9995203191380228,-0.008570819930611265,-0.0024286094945157053,0.031237968512526693,0.001562563978641095,0.16815073347975215,0.226484318963114,0.40990621428360063,1.0159010246082185
"Monopoly, chi = 7.5",12.75,0.99953535433811,-0.008575803374311502,-0.0024303926395170695,0.031240893372460388,0.0015637644542945937,0.16676297254461334,0.22461292978541442,0.40764201114365206,1.0074873678366898
"Monopoly, chi = 7.5",12.875,0.9995498222904203,-0.008580524045842804,-0.0024320687801163594,0.03124372525868359,0.0015649664629140512,0.1653865041394274,0.22275691301942357,0.40539028271211963,0.9991439441609671
