time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,capability_frontier_ratio,ai_services_counterfactual_ratio,output_counterfactual_ratio,consumption_counterfactual_ratio,wage_counterfactual_ratio
215.625,1.5,7396361892247.045,16600507127697.545,614402381416.4785,261400585.80290383,4966128998226999.0,1002.185120714239,0.0009978196436276347,0.057032945588621486,0.04135584838816424,0.05703161811057627,0.09703161811057627,3.5341778784094754e-05,0.6699646582212158,0.0,0.0,0.9,1.0,1.0,1.0,1.0
215.75,1.5,7439974023082.297,16698397859955.008,618025059655.488,262427150.21187827,4995411946585269.0,1002.185120714239,0.0009978196436276347,0.05703288133188852,0.041355804470225216,0.05703155645279211,0.09703155645279211,3.527258958132196e-05,0.6699647274104186,0.0,0.0,0.9,1.0,1.0,1.0,1.0
215.875,1.5,7483843249743.084,16796865690776.135,621669093372.5238,263457744.66832477,5024867521504039.0,1002.185120714239,0.0009978196436276347,0.05703281720106673,0.04135576063834596,0.057031494915829255,0.09703149491582926,3.520353592084772e-05,0.669964796464079,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.0,1.5,7527971087586.267,16895914021764.6,625334608438.0453,264492384.99039352,5054496740475013.0,1002.185120714239,0.0009978196436276347,0.05703275319590576,0.041355716892355385,0.05703143349944772,0.09703143349944772,3.513461753679493e-05,0.6699648653824631,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.125,1.5,7572359060900.116,16995546274572.73,629021731464.3485,265531087.0583349,5084300626987124.0,1002.185120714239,0.0009978196436276347,0.05703268931616118,0.041355673232086373,0.05703137220341339,0.09703137220341339,3.5065834163808324e-05,0.6699649341658362,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.25,1.5,7617008702956.243,17095765891019.004,632730589809.9183,266573866.81472164,5114280210561052.0,1002.185120714239,0.0009978196436276347,0.05703262556158617,0.04135562965737025,0.05703131102748945,0.09703131102748945,3.4997185537054894e-05,0.669965002814463,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.375,1.5,7661921556063.122,17196576333207.877,636461311583.8641,267620740.2647067,5144436526785457.0,1002.185120714239,0.0009978196436276347,0.057032561931934525,0.04135558616803873,0.05703124997143965,0.09703124997143965,3.4928671392221416e-05,0.6699650713286076,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.5,1.5,7707099171618.928,17297981083648.244,640214025650.3033,268671723.4762614,5174770617352311.0,1002.185120714239,0.0009978196436276347,0.05703249842696197,0.0413555427639248,0.057031189035029316,0.09703118903502932,3.486029146551451e-05,0.6699651397085344,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.625,1.5,7752543110165.487,17399983645374.623,643988861632.8358,269726832.58042943,5205283530093161.0,1002.185120714239,0.0009978196436276347,0.05703243504642532,0.04135549944486223,0.0570311282180248,0.0970311282180248,3.479204549365897e-05,0.6699652079545063,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.75,1.5,7798254941441.701,17502587542067.693,647785949919.0155,270786083.7715664,5235976319014941.0,1002.185120714239,0.0009978196436276347,0.057032371790077384,0.04135545621068211,0.05703106752018829,0.0970310675201883,3.47239332138973e-05,0.6699652760667859,0.0,0.0,0.9,1.0,1.0,1.0,1.0
216.875,1.5,7844236244438.274,17605796318175.797,651605421664.8414,271849493.3075934,5266850044336856.0,1002.185120714239,0.0009978196436276347,0.05703230865767848,0.041355413061220536,0.05703100694128926,0.09703100694128926,3.465595436398795e-05,0.669965344045636,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.0,1.5,7890488607451.914,17709613539038.027,655447408799.3147,272917077.5102463,5297905772526656.0,1002.185120714239,0.0009978196436276347,0.057032245648984486,0.041355369996310655,0.05703094648109252,0.09703094648109252,3.458810868220491e-05,0.6699654118913178,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.125,1.5,7937013628140.258,17814042791006.41,659312044028.9469,273988852.7653266,5329144576337544.0,1002.185120714239,0.0009978196436276347,0.05703218276375609,0.041355327015788826,0.05703088613936754,0.09703088613936754,3.4520395907336505e-05,0.6699654796040926,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.25,1.5,7983812913577.015,17919087681570.89,663199460842.4067,275064835.5229509,5360567534845215.0,1002.185120714239,0.0009978196436276347,0.05703212000174892,0.04135528411948806,0.05703082591587862,0.09703082591587862,3.4452815778684386e-05,0.6699655471842213,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.375,1.5,8030888080307.409,18024751839482.52,667109793515.056,276145042.2977984,5392175733485120.0,1002.185120714239,0.0009978196436276347,0.057032057362724056,0.041355241307244994,0.05703076581039523,0.09703076581039523,3.438536803606257e-05,0.6699656146319639,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.5,1.5,8078240754404.055,18131038914879.65,671043177113.6384,277229489.669374,5423970264089915.0,1002.185120714239,0.0009978196436276347,0.057031994846441544,0.041355198578895594,0.057030705822685816,0.09703070582268582,3.431805241979643e-05,0.6699656819475801,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.625,1.5,8125872571519.788,18237952579406.4,674999747500.6819,278318194.2821824,5455952224924948.0,1002.185120714239,0.0009978196436276347,0.05703193245265986,0.041355155934274766,0.05703064595251885,0.09703064595251885,3.425086867072643e-05,0.6699657491313292,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.75,1.5,8173785176945.504,18345496526342.184,678979641339.2852,279411172.8460128,5488122720727134.0,1002.185120714239,0.0009978196436276347,0.05703187018113899,0.04135511337321845,0.05703058619966541,0.09703058619966541,3.418381653020489e-05,0.6699658161834697,0.0,0.0,0.9,1.0,1.0,1.0,1.0
217.875,1.5,8221980225668.463,18453674470733.625,682982996097.9843,280508442.13623554,5520482862744089.0,1002.185120714239,0.0009978196436276347,0.0570318080316332,0.04135507089555878,0.05703052656389076,0.09703052656389076,3.411689574009276e-05,0.6699658831042598,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.0,1.5,8270459382430.136,18562490149522.52,687009950055.4735,281610018.99406826,5553033768772968.0,1002.185120714239,0.0009978196436276347,0.05703174600390651,0.04135502850113441,0.05703046704496969,0.09703046704496969,3.4050106042757956e-05,0.6699659498939572,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.125,1.5,8319224321783.37,18671947321675.863,691060642305.4335,282715920.3268357,5585776563198752.0,1002.185120714239,0.0009978196436276347,0.057031684097718666,0.041354986189781125,0.05703040764267266,0.09703040764267266,3.398344718107454e-05,0.6699660165528187,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.25,1.5,8368276728149.953,18782049768314.816,695135212761.2803,283826163.108215,5618712377033117.0,1002.185120714239,0.0009978196436276347,0.05703162231282778,0.04135494396133364,0.0570303483567682,0.0970303483567682,3.3916918898422094e-05,0.6699660830811015,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.375,1.5,8417618295879.127,18892801292845.258,699233802161.019,284940764.37850803,5651842347953642.0,1002.185120714239,0.0009978196436276347,0.057031560648996206,0.04135490181562953,0.0570302891870289,0.0970302891870289,3.385052093868428e-05,0.6699661494790612,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.5,1.5,8467250729306.156,19004205721089.805,703356552072.1156,286059741.2449066,5685167620342904.0,1002.185120714239,0.0009978196436276347,0.057031499105986413,0.04135485975250642,0.05703023013322744,0.09703023013322744,3.3784253046247944e-05,0.6699662157469537,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.625,1.5,8517175742810.948,19116266901419.46,707503604896.3658,287183110.88174427,5718689345328190.0,1002.185120714239,0.0009978196436276347,0.05703143768356068,0.041354817771801826,0.05703017119513589,0.09703017119513589,3.371811496600217e-05,0.6699662818850339,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.75,1.5,8567395060877.19,19228988704886.3,711675103874.8147,288310890.5307644,5752408680820926.0,1002.185120714239,0.0009978196436276347,0.05703137638148132,0.04135477587335332,0.05703011237252636,0.09703011237252636,3.365210644333761e-05,0.6699663478935566,0.0,0.0,0.9,1.0,1.0,1.0,1.0
218.875,1.5,8617910418152.289,19342375025357.625,715871193092.7175,289443097.50138664,5786326791557111.0,1002.185120714239,0.0009978196436276347,0.057031315199514016,0.041354734057000686,0.057030053665174156,0.09703005366517416,3.358622722414474e-05,0.6699664137727758,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.0,1.5,8668723559507.004,19456429779650.363,720092017484.5007,290579749.1709748,5820444849137372.0,1002.185120714239,0.0009978196436276347,0.05703125413742353,0.041354692322583125,0.05702999507285341,0.09702999507285341,3.352047705481341e-05,0.6699664795229452,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.125,1.5,8719836240095.325,19571156907665.855,724337722838.771,291720862.98508704,5854764032066931.0,1002.185120714239,0.0009978196436276347,0.05703119319497128,0.04135465066993764,0.05702993659533472,0.09702993659533472,3.345485568223222e-05,0.6699665451443176,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.25,1.5,8771250225416.01,19686560372526.508,728608455803.3499,292866456.45777136,5889285525797165.0,1002.185120714239,0.0009978196436276347,0.05703113237192604,0.041354609098906085,0.05702987823239591,0.09702987823239591,3.338936285378652e-05,0.6699666106371461,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.375,1.5,8822967291372.71,19802644160712.266,732904363890.3373,294016547.1718131,5924010522765880.0,1002.185120714239,0.0009978196436276347,0.05703107166805309,0.041354567609328055,0.05702981998381123,0.09702981998381123,3.332399831735838e-05,0.6699666760016825,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.5,1.5,8874989224335.742,19919412282198.53,737225595481.2106,295171152.7790084,5958940222438780.0,1002.185120714239,0.0009978196436276347,0.05703101108311954,0.041354526201044337,0.057029761849356424,0.09702976184935642,3.325876182132503e-05,0.6699667412381787,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.625,1.5,8927317821203.602,20036868770594.227,741572299831.9274,296330291.0004461,5994075831350762.0,1002.185120714239,0.0009978196436276347,0.05703095061689473,0.04135448487389723,0.05702970382880936,0.09702970382880936,3.319365311455818e-05,0.6699668063468854,0.0,0.0,0.9,1.0,1.0,1.0,1.0
219.75,1.5,8979954889464.836,20155017683281.734,745944627078.1189,297493979.62675834,6029418563147662.0,1002.185120714239,0.0009978196436276347,0.05703089026914241,0.04135444362772529,0.057029645921942144,0.09702964592194215,3.3128671946423035e-05,0.6699668713280534,0.0,0.0,0.9,1.0,1.0,1.0,1.0
