time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,capability_frontier_ratio,ai_services_counterfactual_ratio,output_counterfactual_ratio,consumption_counterfactual_ratio,wage_counterfactual_ratio
446.125,1.5,49673785840903.71,111499824276089.77,4126147162610.5684,930507346.8310174,3.3353227929113148e+16,1002.185120714239,0.0009978196436276347,0.057017521187604205,0.04134530625025806,0.057016817595231244,0.09701681759523124,1.873236217209745e-05,0.669981267637828,0.0,0.0,0.9,1.0,1.0,1.0,1.0
446.25,1.5,49966587602695.25,112157084083172.95,4150468341749.331,934160377.1057622,3.354983011932137e+16,1002.185120714239,0.0009978196436276347,0.057017487144064856,0.041345282982628045,0.05701678492873096,0.09701678492873096,1.8695700905846342e-05,0.6699813042990941,0.0,0.0,0.9,1.0,1.0,1.0,1.0
446.375,1.5,50261115068612.16,112818217721483.33,4174932862716.707,937827745.896488,3.3747591043407784e+16,1002.185120714239,0.0009978196436276347,0.057017453167184484,0.04134525976055792,0.057016752326194596,0.0970167523261946,1.865911141478351e-05,0.6699813408885851,0.0,0.0,0.9,1.0,1.0,1.0,1.0
446.5,1.5,50557378408702.89,113483248020958.89,4199541570259.935,941509509.4779416,3.3946517530138316e+16,1002.185120714239,0.0009978196436276347,0.05701741925682898,0.041345236583956085,0.05701671978749364,0.09701671978749364,1.8622593558290045e-05,0.6699813774064416,0.0,0.0,0.9,1.0,1.0,1.0,1.0
446.625,1.5,50855387852951.36,114152197946077.7,4224295314104.4395,945205724.3457804,3.4146616448521376e+16,1002.185120714239,0.0009978196436276347,0.05701738541287228,0.04134521345273631,0.05701668731250736,0.09701668731250736,1.8586147196022743e-05,0.669981413852804,0.0,0.0,0.9,1.0,1.0,1.0,1.0
446.75,1.5,51155153691624.195,114825090596648.22,4249194948982.9585,948916447.2173411,3.434789470804502e+16,1002.185120714239,0.0009978196436276347,0.05701735163518211,0.04134519036680823,0.05701665490110879,0.09701665490110879,1.8549772187913704e-05,0.669981450227812,0.0,0.0,0.9,1.0,1.0,1.0,1.0
446.875,1.5,51456686275630.54,115501949208611.0,4274241334665.3223,952641735.0325907,3.4550359258915264e+16,1002.185120714239,0.0009978196436276347,0.057017317923627873,0.04134516732608257,0.05701662255317263,0.09701662255317263,1.851346839416968e-05,0.6699814865316057,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.0,1.5,51759996016877.37,116182797154835.97,4299435335987.85,956381644.9549602,3.4754017092295784e+16,1002.185120714239,0.0009978196436276347,0.05701728427808117,0.04134514433047156,0.05701659026857544,0.09701659026857544,1.8477235675271544e-05,0.6699815227643248,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.125,1.5,52065093388630.664,116867657945934.27,4324777822883.4346,960136234.3722522,3.4958875240550024e+16,1002.185120714239,0.0009978196436276347,0.05701725069841415,0.04134512137988781,0.057016558047194514,0.09701655804719451,1.844107389197379e-05,0.6699815589261079,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.25,1.5,52371988925873.11,117556555231064.27,4350269670411.3926,963905560.8974702,3.5164940777482252e+16,1002.185120714239,0.0009978196436276347,0.05701721718449607,0.04134509847424195,0.057016525888903956,0.09701652588890396,1.840498290530411e-05,0.6699815950170946,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.375,1.5,52680693225672.39,118249512798753.78,4375911758787.843,967689682.3697506,3.537222081858475e+16,1002.185120714239,0.0009978196436276347,0.057017183736198726,0.04134507561344637,0.05701649379358039,0.09701649379358039,1.8368962576562587e-05,0.6699816310374234,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.5,1.5,52991216947545.82,118946554577719.77,4401704973416.053,971488656.8552433,3.5580722521281776e+16,1002.185120714239,0.0009978196436276347,0.05701715035339515,0.041345052797414246,0.05701646176110161,0.09701646176110161,1.8333012767321162e-05,0.6699816669872326,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.625,1.5,53303570813825.91,119647704637691.97,4427650204916.893,975302542.6479791,3.579045308517512e+16,1002.185120714239,0.0009978196436276347,0.057017117035955876,0.04134503002605711,0.057016429791342686,0.09701642979134269,1.8297133339423556e-05,0.6699817028666605,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.75,1.5,53617765610032.945,120352987190244.72,4453748349159.666,979131398.2707777,3.600141975229521e+16,1002.185120714239,0.0009978196436276347,0.057017083783754564,0.04134500729928858,0.05701639788418197,0.09701639788418197,1.8261324154984268e-05,0.669981738675845,0.0,0.0,0.9,1.0,1.0,1.0,1.0
447.875,1.5,53933812185246.84,121062426589635.4,4480000307293.065,982975282.4761592,3.6213629807350104e+16,1002.185120714239,0.0009978196436276347,0.057017050596663454,0.04134498461702134,0.05701636603949605,0.09701636603949605,1.822558507638822e-05,0.6699817744149236,0.0,0.0,0.9,1.0,1.0,1.0,1.0
