scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",19.625,0.9579405885074082,0.006135896590283979,0.00680068490627204,0.04431655640484329,0.05106725058704568,0.060083857981124124,0.09186831609012323,0.22368034607456003,0.43003164108227265
"Monopoly, chi = 7.5",19.75,0.9581538718423979,0.006168546102380406,0.006826418231107211,0.04436117915976247,0.05107147228775743,0.05955379727951096,0.09104665564437567,0.2223140975865894,0.42613099770105656
"Monopoly, chi = 7.5",19.875,0.9583658847398795,0.006201030014252388,0.006852012719688657,0.04440553891360542,0.051075650265325914,0.05902906136224781,0.09023342006665014,0.22095810904024119,0.4222712867885401
"Monopoly, chi = 7.5",20.0,0.9585766361417482,0.006233349012637839,0.006877469073768412,0.044449637312777804,0.051079784681164385,0.05850958922990335,0.08942851009297101,0.21961228569570385,0.4184520098863895
"Monopoly, chi = 7.5",20.125,0.9587861349167272,0.006265503783640104,0.006902787992176181,0.04449347599273379,0.05108387569760466,0.05799532066965415,0.08863182778722194,0.21827653385366672,0.41467267550077475
"Monopoly, chi = 7.5",20.25,0.9589943898522351,0.006297495014905727,0.0069279701721469775,0.04453705657384527,0.05108792347267725,0.05748619626454021,0.08784327655227811,0.21695076089479567,0.4109327991164597
"Monopoly, chi = 7.5",20.375,0.9592014096669758,0.0063293233926576395,0.006953016307583366,0.0445803806671099,0.05109192816699488,0.05698215735354826,0.08706276106677806,0.21563487519307692,0.40723190291382994
"Monopoly, chi = 7.5",20.5,0.9594072030123658,0.006360989601396107,0.006977927088897453,0.04462344987463017,0.05109588994424933,0.056483146022811515,0.08629018726907592,0.214328786107923,0.4035695156741782
"Monopoly, chi = 7.5",20.625,0.9596117784618209,0.006392494326684916,0.007002703204697686,0.04466626578422783,0.0510998089644259,0.05598910511606617,0.08552546237037245,0.2130324040264561,0.3999451728057087
"Monopoly, chi = 7.5",20.75,0.95981514451745,0.006423838253668942,0.007027345340936285,0.044708829972376796,0.05110368538729033,0.055499978212947464,0.08476849481923282,0.21174564032242038,0.39635841617201256
"Monopoly, chi = 7.5",20.875,0.960017309617156,0.0064550220653454326,0.00705185417989658,0.04475114400742096,0.051107519376283016,0.055015709604630876,0.08401919426219508,0.21046840730762856,0.3928087939066103
"Monopoly, chi = 7.5",21.0,0.960218282127879,0.006486046444355422,0.007076230401285232,0.044793209446077994,0.051111311094059204,0.05453624429782203,0.08327747154727488,0.20920061825677122,0.38929586040128694
"Monopoly, chi = 7.5",21.125,0.9604180703423056,0.0065169120740290335,0.007100474682889688,0.044835027831549856,0.051115060699984546,0.05406152801590624,0.08254323872320958,0.20794218742483958,0.38581917627562623
"Monopoly, chi = 7.5",21.25,0.9606166824899374,0.006547619635641566,0.00712458769895687,0.04487660069870321,0.05111876835650006,0.053591507163384046,0.08181640898330227,0.20669302996869435,0.38237830812693513
"Monopoly, chi = 7.5",21.375,0.960814126735925,0.006578169808773018,0.00714857012042725,0.04491792957329975,0.051122434228066754,0.053126128822744575,0.08109689665834631,0.2054530619524536,0.37897282847584074
"Monopoly, chi = 7.5",21.5,0.9610104111716159,0.006608563273934079,0.007172422616538577,0.04495901596706972,0.05112605847483438,0.05266534076469677,0.08038461722971456,0.20422220038835784,0.37560231579491676
"Monopoly, chi = 7.5",21.625,0.9612055438240329,0.006638800710245976,0.007196145853458745,0.044999861382150466,0.05112964125810422,0.05220909141964424,0.07967948728401819,0.20300036317562542,0.37226635430227645
"Monopoly, chi = 7.5",21.75,0.9613995326597187,0.006668882794483177,0.007219740493727658,0.04504046731280352,0.051133182742413026,0.05175732986327423,0.07898142448914372,0.20178746907565398,0.36896453384116523
"Monopoly, chi = 7.5",21.875,0.9615923855765746,0.006698810203344902,0.0072432071976461475,0.04508083524110734,0.05113668308996378,0.051310005823121924,0.07829034760194517,0.20058343774276746,0.36569644988892913
